indicator loadings (>.708)
            IoIT   EoA   EoI   IMG  PEOU   VIS   VOI   PUA   SQR     SR    LS   PPC    PS   PUI   TKR   WEI
WEI.WEI7   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.785
WEI.WEI8   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.817


indicator reliability (>.500)
            IoIT   EoA   EoI   IMG  PEOU   VIS   VOI   PUA   SQR    SR    LS   PPC    PS   PUI   TKR   WEI
IMG        0.566 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PEOU       0.585 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VIS        0.548 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VOI        0.303 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA        0.000 0.679 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR        0.000 0.615 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SR         0.000 0.269 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
LS         0.000 0.000 0.801 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PPC        0.000 0.000 0.758 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PS         0.000 0.000 0.789 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUI        0.000 0.000 0.808 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
TKR        0.000 0.000 0.423 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
WEI        0.000 0.000 0.805 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG1   0.000 0.000 0.000 0.802 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG2   0.000 0.000 0.000 0.810 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG3   0.000 0.000 0.000 0.789 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU1 0.000 0.000 0.000 0.000 0.633 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU2 0.000 0.000 0.000 0.000 0.668 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU3 0.000 0.000 0.000 0.000 0.703 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU4 0.000 0.000 0.000 0.000 0.670 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU6 0.000 0.000 0.000 0.000 0.642 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS1   0.000 0.000 0.000 0.000 0.000 0.721 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS2   0.000 0.000 0.000 0.000 0.000 0.726 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS3   0.000 0.000 0.000 0.000 0.000 0.744 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VOI.VOI1   0.000 0.000 0.000 0.000 0.000 0.000 0.790 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VOI.VOI2   0.000 0.000 0.000 0.000 0.000 0.000 0.830 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VOI.VOI3   0.000 0.000 0.000 0.000 0.000 0.000 0.742 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.713 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.670 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.662 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA4   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.659 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA5   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.656 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA7   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.620 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA8   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.706 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.725 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.742 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.658 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SR.SR1     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.811 0.000 0.000 0.000 0.000 0.000 0.000
SR.SR2     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.754 0.000 0.000 0.000 0.000 0.000 0.000
SR.SR3     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.821 0.000 0.000 0.000 0.000 0.000 0.000
SR.SR4     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.810 0.000 0.000 0.000 0.000 0.000 0.000
