                         vars   n     mean       sd   median  trimmed      mad      min      max    range  skew kurtosis       se
PERCEPTION.DTPOS           88 477 3.81e+00 1.70e+00 4.00e+00 3.94e+00 1.48e+00 0.00e+00 6.00e+00 6.00e+00 -0.49    -0.64 8.00e-02
PERCEPTION.DTNEG           89 477 2.87e+00 1.73e+00 3.00e+00 2.84e+00 1.48e+00 0.00e+00 6.00e+00 6.00e+00  0.15    -1.05 8.00e-02
WORKPACE.SQ01              90 477 5.23e+00 1.37e+00 5.00e+00 5.36e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.76     0.13 6.00e-02
AUTONOMY                   91 477 2.46e+00 5.80e-01 3.00e+00 2.50e+00 0.00e+00 1.00e+00 3.00e+00 2.00e+00 -0.53    -0.67 3.00e-02
WORKAMOUNT                 92 459 2.30e+00 7.00e-01 2.00e+00 2.37e+00 1.48e+00 1.00e+00 3.00e+00 2.00e+00 -0.49    -0.90 3.00e-02
PARALLEL                   93 464 2.29e+00 7.10e-01 2.00e+00 2.37e+00 1.48e+00 1.00e+00 3.00e+00 2.00e+00 -0.48    -0.92 3.00e-02
WORKLOAD                   94 467 2.22e+00 7.40e-01 2.00e+00 2.28e+00 1.48e+00 1.00e+00 3.00e+00 2.00e+00 -0.38    -1.09 3.00e-02
MEASURES                   95 479 5.30e-01 5.00e-01 1.00e+00 5.30e-01 0.00e+00 0.00e+00 1.00e+00 1.00e+00 -0.10    -1.99 2.00e-02
MEASURES2                  96 250 1.97e+00 6.30e-01 2.00e+00 1.97e+00 0.00e+00 0.00e+00 3.00e+00 3.00e+00 -0.27     0.41 4.00e-02
Age                        97 478 3.22e+01 1.16e+01 3.00e+01 3.08e+01 1.33e+01 1.80e+01 6.70e+01 4.90e+01  0.97     0.49 5.30e-01
ExperienceHealthcare       98 469 5.86e+00 6.09e+00 5.00e+00 4.81e+00 7.41e+00 0.00e+00 2.10e+01 2.10e+01  1.20     0.63 2.80e-01
interviewtime              99 479 8.91e+02 6.56e+02 7.34e+02 7.81e+02 4.27e+02 1.96e+02 5.80e+03 5.60e+03  2.90    13.29 3.00e+01
WELCTime                  100 479 3.83e+01 1.36e+02 1.19e+01 1.49e+01 6.89e+00 3.55e+00 1.40e+03 1.39e+03  7.81    65.56 6.20e+00
OWNEXPERIENCETime         101 479 1.73e+01 7.66e+01 8.99e+00 9.87e+00 4.18e+00 2.80e+00 1.54e+03 1.54e+03 17.28   329.62 3.50e+00
DESCTime                  102 479 6.01e+01 1.36e+02 3.15e+01 3.85e+01 2.31e+01 3.86e+00 2.11e+03 2.11e+03 10.20   130.10 6.21e+00
DESCINFOTime              103 479 1.05e+01 4.44e+01 5.00e+00 5.74e+00 2.86e+00 1.85e+00 8.17e+02 8.15e+02 15.16   251.65 2.03e+00
IMGTime                   104 479 2.73e+01 9.78e+01 1.54e+01 1.60e+01 1.01e+01 3.20e+00 1.99e+03 1.99e+03 17.24   336.98 4.47e+00
