indicator loadings (>.708)
            IoIT   EoA   EoI   IMG  PEOU   VIS   VOI   PUA   RES   SQR    LS   PPC    PS   PUI   TKR   WEI
IMG  0.875 0.923 0.800 0.876
PEOU 0.879 0.909 0.625 0.883
VIS  0.816 0.891 0.731 0.818
VOI  0.865 0.917 0.787 0.873
PUA  0.918 0.934 0.669 0.918
RES  0.687 0.827 0.615 0.696
SQR  0.794 0.879 0.708 0.794
LS   0.899 0.919 0.586 0.900
PPC  0.868 0.901 0.603 0.871
PS   0.943 0.951 0.639 0.944
PUI  0.923 0.938 0.684 0.924
TKR  0.857 0.903 0.700 0.857
WEI  0.910 0.927 0.615 0.911

Alpha, rhoC, and rhoA should exceed 0.7 while AVE should exceed 0.5


HTMT (lavaan/semTools)
       IMG  PEOU   VIS   VOI   PUA   RES   SQR    SR    LS   PPC    PS   PUI   TKR   WEI
IMG  1.000                                                                              
PEOU 0.367 1.000                                                                        
VIS  0.428 0.578 1.000                                                                  
VOI  0.440 0.241 0.361 1.000                                                            
PUA  0.435 0.783 0.539 0.258 1.000                                                      
RES  0.743 0.883 0.579 0.440 0.721 1.000                                                
SQR  0.622 0.492 0.377 0.535 0.533 0.925 1.000                                          
SR   0.536 0.055 0.119 0.493 0.122 0.189 0.528 1.000                                    
LS   0.533 0.705 0.526 0.392 0.881 0.958 0.570 0.232 1.000                              
PPC  0.525 0.753 0.536 0.414 0.849 0.981 0.553 0.209 0.837 1.000                        
PS   0.369 0.753 0.518 0.190 0.897 0.790 0.483 0.095 0.824 0.782 1.000                  
PUI  0.450 0.786 0.541 0.203 0.942 0.739 0.505 0.107 0.873 0.867 0.897 1.000            
TKR  0.617 0.477 0.369 0.420 0.528 0.886 0.658 0.468 0.547 0.597 0.475 0.529 1.000      
WEI  0.530 0.733 0.599 0.385 0.868 1.080 0.626 0.265 0.865 0.792 0.819 0.869 0.592 1.000
