outer loadings
            IoIT   EoA   EoI   IMG  PEOU   VIS   VOI   PUA   RES   SQR    SR    LS   PPC    PS   PUI   TKR   WEI
PEOU       0.489 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VIS        0.341 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VOI        0.197 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA        0.000 0.483 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
RES        0.000 0.385 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR        0.000 0.317 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SR         0.000 0.183 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
LS         0.000 0.000 0.202 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PPC        0.000 0.000 0.196 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PS         0.000 0.000 0.201 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUI        0.000 0.000 0.202 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
TKR        0.000 0.000 0.156 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
WEI        0.000 0.000 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG1   0.000 0.000 0.000 0.362 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG2   0.000 0.000 0.000 0.372 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG3   0.000 0.000 0.000 0.384 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU1 0.000 0.000 0.000 0.000 0.260 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU2 0.000 0.000 0.000 0.000 0.235 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU3 0.000 0.000 0.000 0.000 0.247 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU4 0.000 0.000 0.000 0.000 0.235 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU6 0.000 0.000 0.000 0.000 0.252 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS1   0.000 0.000 0.000 0.000 0.000 0.416 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS2   0.000 0.000 0.000 0.000 0.000 0.374 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS3   0.000 0.000 0.000 0.000 0.000 0.380 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VOI.VOI1   0.000 0.000 0.000 0.000 0.000 0.000 0.383 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VOI.VOI2   0.000 0.000 0.000 0.000 0.000 0.000 0.390 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VOI.VOI3   0.000 0.000 0.000 0.000 0.000 0.000 0.353 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.177 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.172 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA4   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.171 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA5   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.176 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA7   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.170 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA8   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.176 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
RES.RES1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.383 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
RES.RES2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.414 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
RES.RES3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.475 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.401 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.391 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.397 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SR.SR1     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.298 0.000 0.000 0.000 0.000 0.000 0.000
SR.SR2     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.264 0.000 0.000 0.000 0.000 0.000 0.000
SR.SR3     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.279 0.000 0.000 0.000 0.000 0.000 0.000
SR.SR4     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.277 0.000 0.000 0.000 0.000 0.000 0.000
LS.LS1     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.168 0.000 0.000 0.000 0.000 0.000
LS.LS2     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.151 0.000 0.000 0.000 0.000 0.000
